event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-08-18T00:05:46,2026-08-18T00:05:49,3.0,2026-08-18T00:05:49,63.87,46.91,2026-08-18T00:05:31,2026-08-18T00:06:04,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_00-05-49.wav,Silence,0.9733,0.001,Vehicle,False
1,2026-08-18T00:07:29,2026-08-18T00:07:31,2.0,2026-08-18T00:07:31,62.49,46.4,2026-08-18T00:07:14,2026-08-18T00:07:46,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_00-07-31.wav,Silence,0.9902,0.0001,Vehicle,False
2,2026-08-18T00:15:24,2026-08-18T00:15:26,2.0,2026-08-18T00:15:25,64.1,46.76,2026-08-18T00:15:09,2026-08-18T00:15:41,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_00-15-25.wav,Silence,0.9606,0.0037,Vehicle,False
3,2026-08-18T00:26:10,2026-08-18T00:26:12,2.0,2026-08-18T00:26:12,68.34,45.68,2026-08-18T00:25:55,2026-08-18T00:26:27,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_00-26-12.wav,Silence,0.9526,0.0028,Vehicle,False
4,2026-08-18T00:36:43,2026-08-18T00:36:46,3.0,2026-08-18T00:36:45,62.39,45.91,2026-08-18T00:36:28,2026-08-18T00:37:01,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_00-36-45.wav,Silence,0.9893,0.0001,Vehicle,False
5,2026-08-18T00:39:11,2026-08-18T00:39:13,2.0,2026-08-18T00:39:12,65.08,45.87,2026-08-18T00:38:56,2026-08-18T00:39:28,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_00-39-12.wav,Silence,0.9276,0.0077,Vehicle,False
6,2026-08-18T00:42:05,2026-08-18T00:42:15,10.0,2026-08-18T00:42:10,77.69,46.01,2026-08-18T00:41:50,2026-08-18T00:42:30,40.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_00-42-10.wav,Silence,0.9479,0.005,Vehicle,False
7,2026-08-18T00:48:34,2026-08-18T00:48:36,2.0,2026-08-18T00:48:35,64.25,46.53,2026-08-18T00:48:19,2026-08-18T00:48:51,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_00-48-35.wav,Silence,0.9938,0.0001,Vehicle,False
8,2026-08-18T01:07:19,2026-08-18T01:07:25,6.0,2026-08-18T01:07:24,65.32,45.89,2026-08-18T01:07:04,2026-08-18T01:07:40,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_01-07-24.wav,Silence,0.9107,0.0048,Vehicle,False
9,2026-08-18T01:30:18,2026-08-18T01:30:20,2.0,2026-08-18T01:30:19,62.39,45.52,2026-08-18T01:30:03,2026-08-18T01:30:35,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_01-30-19.wav,Silence,0.9777,0.0003,Vehicle,False
10,2026-08-18T01:38:33,2026-08-18T01:38:35,2.0,2026-08-18T01:38:35,63.22,45.91,2026-08-18T01:38:18,2026-08-18T01:38:50,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_01-38-35.wav,Silence,0.98,0.0003,Vehicle,False
11,2026-08-18T01:56:42,2026-08-18T01:56:44,2.0,2026-08-18T01:56:43,64.07,47.72,2026-08-18T01:56:27,2026-08-18T01:56:59,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-17/peak_audio_clips_2026-08-17/2026-08-18_01-56-43.wav,Silence,0.9854,0.0002,Vehicle,False
