event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-08-24T03:28:54,2026-08-24T03:28:57,3.0,2026-08-24T03:28:56,72.07,49.56,2026-08-24T03:28:39,2026-08-24T03:29:12,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_03-28-56.wav,Silence,0.54,0.1002,Vehicle,True
1,2026-08-24T04:21:16,2026-08-24T04:21:19,3.0,2026-08-24T04:21:17,70.31,50.02,2026-08-24T04:21:01,2026-08-24T04:21:34,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_04-21-17.wav,White noise,0.1818,0.0858,Vehicle,True
2,2026-08-24T04:53:03,2026-08-24T04:53:05,2.0,2026-08-24T04:53:03,66.13,50.26,2026-08-24T04:52:48,2026-08-24T04:53:20,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_04-53-03.wav,Silence,0.3348,0.152,Vehicle,True
3,2026-08-24T05:10:20,2026-08-24T05:10:22,2.0,2026-08-24T05:10:21,68.42,50.16,2026-08-24T05:10:05,2026-08-24T05:10:37,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_05-10-21.wav,Vehicle,0.1944,0.1944,Vehicle,True
4,2026-08-24T05:35:27,2026-08-24T05:35:33,6.0,2026-08-24T05:35:31,78.05,53.17,2026-08-24T05:35:12,2026-08-24T05:35:48,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_05-35-31.wav,Vehicle,0.1552,0.1552,Vehicle,True
5,2026-08-24T05:46:55,2026-08-24T05:46:59,4.0,2026-08-24T05:46:56,66.87,50.05,2026-08-24T05:46:40,2026-08-24T05:47:14,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_05-46-56.wav,Vehicle,0.2509,0.2509,Vehicle,True
6,2026-08-24T05:48:30,2026-08-24T05:48:33,3.0,2026-08-24T05:48:31,67.73,50.53,2026-08-24T05:48:15,2026-08-24T05:48:48,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_05-48-31.wav,Silence,0.3283,0.2012,Vehicle,True
7,2026-08-24T05:53:32,2026-08-24T05:53:37,5.0,2026-08-24T05:53:33,81.57,62.71,2026-08-24T05:53:17,2026-08-24T05:53:52,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_05-53-33.wav,Vehicle,0.2831,0.2831,Vehicle,True
8,2026-08-24T05:58:41,2026-08-24T05:58:43,2.0,2026-08-24T05:58:43,69.81,53.13,2026-08-24T05:58:26,2026-08-24T05:58:58,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_05-58-43.wav,Silence,0.4302,0.1117,Vehicle,True
9,2026-08-24T06:06:13,2026-08-24T06:06:22,9.0,2026-08-24T06:06:16,77.47,50.35,2026-08-24T06:05:58,2026-08-24T06:06:37,39.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_06-06-16.wav,Silence,0.3102,0.1589,Vehicle,True
10,2026-08-24T06:17:21,2026-08-24T06:17:25,4.0,2026-08-24T06:17:24,76.86,53.82,2026-08-24T06:17:06,2026-08-24T06:17:40,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-08-23/peak_audio_clips_2026-08-23/2026-08-24_06-17-24.wav,Vehicle,0.2465,0.2465,Vehicle,True
