event_id,centroid_timestamp,isolated_db_a,isolation_note,used_raw_peak_fallback,vehicle_confidence,top_class,exceeds_who_45db_threshold,raw_peak_db,raw_baseline_db
0,2026-08-23T00:04:08.043,64.07,ok,False,0.0662,Silence,True,65.02,46.7
1,2026-08-23T00:08:23.205,72.73,ok,False,0.1453,Silence,True,75.86,50.24
2,2026-08-23T00:30:24.736,65.09,ok,False,0.0795,Silence,True,66.97,47.33
3,2026-08-23T00:38:59.987,62.05,ok,False,0.0744,White noise,True,63.04,47.65
4,2026-08-23T00:42:59.088,64.26,ok,False,0.0634,Silence,True,65.34,46.51
5,2026-08-23T00:46:01.995,63.25,ok,False,0.0852,Silence,True,65.6,46.65
6,2026-08-23T01:04:01.217,63.38,ok,False,0.0324,Silence,True,64.91,46.67
7,2026-08-23T01:14:49.188,63.49,ok,False,0.0481,Silence,True,65.22,47.42
8,2026-08-23T01:48:48.488,66.01,ok,False,0.2107,Vehicle,True,67.88,47.13
9,2026-08-23T01:52:10.809,68.77,ok,False,0.1587,Silence,True,74.16,47.52
10,2026-08-23T02:26:08.967,61.44,ok,False,0.0811,Silence,True,62.37,45.98
11,2026-08-23T02:36:27.058,61.34,ok,False,0.0501,Silence,True,62.13,45.54
12,2026-08-23T02:57:22.516,60.86,ok,False,0.027,Silence,True,62.13,45.44
13,2026-08-23T03:05:48.299,64.94,ok,False,0.0252,Silence,True,67.09,46.01
14,2026-08-23T03:10:29.571,61.46,ok,False,0.0844,Silence,True,62.3,45.55
15,2026-08-23T03:15:29.186,63.87,ok,False,0.0374,Silence,True,64.8,45.87
16,2026-08-23T03:16:55.001,60.75,ok,False,0.0565,Silence,True,62.05,46.06
17,2026-08-23T03:45:47.511,60.45,ok,False,0.0585,Silence,True,61.42,44.98
18,2026-08-23T03:53:33.009,62.64,ok,False,0.0487,Silence,True,63.61,45.58
19,2026-08-23T04:15:33.089,61.51,ok,False,0.0621,Silence,True,62.47,45.32
20,2026-08-23T04:22:42.115,64.75,ok,False,0.0577,Silence,True,66.52,45.08
21,2026-08-23T04:24:19.002,63.56,ok,False,0.072,Silence,True,64.37,45.72
22,2026-08-23T04:38:03.553,62.48,ok,False,0.0879,Silence,True,64.34,45.55
23,2026-08-23T04:51:34.905,61.65,ok,False,0.0616,Silence,True,62.75,45.8
24,2026-08-23T05:30:35.139,65.84,ok,False,0.0979,Silence,True,67.95,45.56
25,2026-08-23T06:05:31.926,63.39,ok,False,0.0932,Silence,True,65.8,45.99
26,2026-08-23T06:24:30.995,61.95,ok,False,0.0608,Silence,True,63.38,46.73
