event_id,start,end,loud_duration_seconds,peak_time,peak_db,baseline_db,clip_window_start,clip_window_end,clip_duration_seconds,clip_file,top_class,top_class_confidence,vehicle_confidence,vehicle_matched_class,is_vehicle
0,2026-09-09T00:03:16,2026-09-09T00:03:19,3.0,2026-09-09T00:03:17,69.4,48.08,2026-09-09T00:03:01,2026-09-09T00:03:34,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_00-03-17.wav,Silence,0.202,0.0873,Vehicle,True
1,2026-09-09T00:08:38,2026-09-09T00:08:40,2.0,2026-09-09T00:08:39,65.45,47.42,2026-09-09T00:08:23,2026-09-09T00:08:55,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_00-08-39.wav,Silence,0.5004,0.048,Vehicle,True
2,2026-09-09T00:15:14,2026-09-09T00:15:16,2.0,2026-09-09T00:15:16,62.3,45.98,2026-09-09T00:14:59,2026-09-09T00:15:31,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_00-15-16.wav,Silence,0.3849,0.0443,Vehicle,True
3,2026-09-09T00:27:28,2026-09-09T00:27:32,4.0,2026-09-09T00:27:30,67.21,46.42,2026-09-09T00:27:13,2026-09-09T00:27:47,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_00-27-30.wav,Silence,0.3163,0.0504,Vehicle,True
4,2026-09-09T00:29:30,2026-09-09T00:29:32,2.0,2026-09-09T00:29:31,62.07,45.09,2026-09-09T00:29:15,2026-09-09T00:29:47,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_00-29-31.wav,Silence,0.3981,0.0271,Vehicle,True
5,2026-09-09T00:35:31,2026-09-09T00:35:33,2.0,2026-09-09T00:35:32,64.34,45.45,2026-09-09T00:35:16,2026-09-09T00:35:48,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_00-35-32.wav,Silence,0.615,0.0198,Vehicle,False
6,2026-09-09T00:53:25,2026-09-09T00:53:29,4.0,2026-09-09T00:53:26,69.01,49.44,2026-09-09T00:53:10,2026-09-09T00:53:44,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_00-53-26.wav,Silence,0.5399,0.0651,Vehicle,True
7,2026-09-09T01:42:40,2026-09-09T01:42:42,2.0,2026-09-09T01:42:42,63.76,44.72,2026-09-09T01:42:25,2026-09-09T01:42:57,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_01-42-42.wav,Silence,0.6138,0.0429,Vehicle,True
8,2026-09-09T01:49:59,2026-09-09T01:50:01,2.0,2026-09-09T01:50:01,60.82,44.3,2026-09-09T01:49:44,2026-09-09T01:50:16,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_01-50-01.wav,Silence,0.6203,0.042,Vehicle,True
9,2026-09-09T02:21:10,2026-09-09T02:21:13,3.0,2026-09-09T02:21:12,63.98,44.33,2026-09-09T02:20:55,2026-09-09T02:21:28,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_02-21-12.wav,Silence,0.5622,0.029,Vehicle,True
10,2026-09-09T02:31:31,2026-09-09T02:31:35,4.0,2026-09-09T02:31:33,69.03,45.07,2026-09-09T02:31:16,2026-09-09T02:31:50,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_02-31-33.wav,Silence,0.5445,0.0342,Vehicle,True
11,2026-09-09T02:55:46,2026-09-09T02:55:49,3.0,2026-09-09T02:55:48,62.8,43.91,2026-09-09T02:55:31,2026-09-09T02:56:04,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_02-55-48.wav,Silence,0.5352,0.0179,Vehicle,False
12,2026-09-09T03:04:07,2026-09-09T03:04:10,3.0,2026-09-09T03:04:08,62.91,44.17,2026-09-09T03:03:52,2026-09-09T03:04:25,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_03-04-08.wav,Silence,0.5323,0.0589,Vehicle,True
13,2026-09-09T03:17:41,2026-09-09T03:17:47,6.0,2026-09-09T03:17:44,72.14,46.73,2026-09-09T03:17:26,2026-09-09T03:18:02,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_03-17-44.wav,Silence,0.5384,0.0647,Vehicle,True
14,2026-09-09T03:29:28,2026-09-09T03:29:31,3.0,2026-09-09T03:29:29,62.33,44.54,2026-09-09T03:29:13,2026-09-09T03:29:46,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_03-29-29.wav,Silence,0.5568,0.0608,Vehicle,True
15,2026-09-09T03:38:45,2026-09-09T03:38:49,4.0,2026-09-09T03:38:48,69.74,47.2,2026-09-09T03:38:30,2026-09-09T03:39:04,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_03-38-48.wav,Silence,0.2353,0.0701,Vehicle,True
16,2026-09-09T03:41:33,2026-09-09T03:41:36,3.0,2026-09-09T03:41:34,63.36,44.52,2026-09-09T03:41:18,2026-09-09T03:41:51,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_03-41-34.wav,Silence,0.5342,0.0564,Vehicle,True
17,2026-09-09T03:46:34,2026-09-09T03:46:39,5.0,2026-09-09T03:46:36,68.26,44.41,2026-09-09T03:46:19,2026-09-09T03:46:54,35.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_03-46-36.wav,Silence,0.5225,0.056,Vehicle,True
18,2026-09-09T03:52:29,2026-09-09T03:52:31,2.0,2026-09-09T03:52:29,61.13,44.99,2026-09-09T03:52:14,2026-09-09T03:52:46,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_03-52-29.wav,Silence,0.5136,0.0645,Vehicle,True
19,2026-09-09T03:55:00,2026-09-09T03:55:04,4.0,2026-09-09T03:55:02,64.51,44.85,2026-09-09T03:54:45,2026-09-09T03:55:19,34.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_03-55-02.wav,Silence,0.5429,0.0503,Vehicle,True
20,2026-09-09T04:21:46,2026-09-09T04:21:49,3.0,2026-09-09T04:21:48,63.33,46.03,2026-09-09T04:21:31,2026-09-09T04:22:04,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_04-21-48.wav,Silence,0.2883,0.0728,Vehicle,True
21,2026-09-09T04:45:03,2026-09-09T04:45:06,3.0,2026-09-09T04:45:04,61.61,45.58,2026-09-09T04:44:48,2026-09-09T04:45:21,33.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_04-45-04.wav,Silence,0.4012,0.0798,Vehicle,True
22,2026-09-09T04:56:16,2026-09-09T04:56:22,6.0,2026-09-09T04:56:20,72.75,46.92,2026-09-09T04:56:01,2026-09-09T04:56:37,36.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_04-56-20.wav,Silence,0.4687,0.0568,Vehicle,True
23,2026-09-09T05:15:56,2026-09-09T05:15:58,2.0,2026-09-09T05:15:58,62.41,46.12,2026-09-09T05:15:41,2026-09-09T05:16:13,32.0,/home/shyla_agrawal/gerald_night_data/night_2026-09-08/peak_audio_clips_2026-09-08/2026-09-09_05-15-58.wav,Silence,0.3737,0.0767,Vehicle,True
